trial,power_decline,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,0.4,199,17,0,0,0,0,0,0,0,0,0,0,0
1,0.5,175,17,1,0,0,0,0,0,0,0,0,0,0
2,0.7,153,23,1,1,1,0,0,0,0,0,0,0,0
3,0.8,141,21,1,1,2,0,0,0,0,0,0,0,0
4,0.6,168,16,2,1,0,0,0,0,0,0,0,0,0
5,0.1,470,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3,268,0,0,0,0,0,0,0,0,0,0,0,0
7,0.2,381,0,0,0,0,0,0,0,0,0,0,0,0
8,1.0,133,23,3,1,1,0,1,0,0,0,0,0,0
9,1.1,123,19,4,2,0,2,0,0,0,0,0,0,0
10,1.2,115,16,6,2,0,2,0,0,0,0,0,0,0
11,1.5,88,24,4,4,0,1,1,0,0,0,0,0,0
12,0.9,149,21,2,2,1,0,0,0,0,0,0,0,0
13,1.3,109,21,5,1,2,1,0,0,0,0,0,0,0
14,1.6,78,17,5,7,0,1,2,0,0,0,0,0,0
15,1.4,107,18,7,2,1,1,0,0,0,0,0,0,0
16,1.7,75,19,9,2,1,1,2,0,0,0,0,0,0
17,1.8,79,16,9,2,2,0,1,0,1,0,0,0,0
18,2.1,59,13,7,3,1,1,1,1,0,0,0,0,1
19,1.9,82,19,7,1,2,1,0,0,0,0,0,1,0
20,2.3,61,14,7,0,2,2,1,0,2,0,0,0,0
21,2.0,73,18,6,2,2,1,0,0,0,0,0,0,1
22,2.4,49,11,2,6,1,1,4,1,0,0,0,0,0
23,2.2,70,15,5,6,0,1,1,0,0,1,0,0,0
24,2.5,69,10,3,1,2,1,5,1,0,0,0,0,0
25,2.6,46,9,5,2,1,3,2,1,0,0,0,0,1
26,2.7,48,11,7,4,1,3,1,0,0,0,0,0,1
27,3.0,43,10,2,3,5,2,1,1,0,0,0,0,1
28,2.8,26,10,3,3,2,3,0,0,3,0,0,0,1
29,2.9,55,12,5,3,0,4,0,0,0,0,0,0,2
30,3.1,37,10,4,2,4,2,1,1,1,0,1,0,0
31,3.2,31,12,10,2,0,2,1,1,0,0,0,0,1
32,3.3,51,8,7,3,1,1,2,0,1,0,0,0,1
33,3.6,32,9,4,2,2,5,0,2,0,0,0,0,1
34,3.4,31,16,3,4,0,2,1,0,0,1,1,0,1
35,3.5,23,11,8,3,1,0,2,1,1,0,0,0,1
36,3.9,30,10,4,4,0,2,1,1,0,0,0,0,2
37,3.7,39,9,5,3,1,2,1,1,2,1,0,0,0
38,3.8,30,6,5,3,2,0,0,1,1,1,0,0,2
39,4.0,31,8,6,1,2,2,1,1,1,1,0,0,1
40,4.1,40,8,8,4,0,2,1,1,1,0,0,1,0
41,4.2,32,10,4,3,4,2,0,1,0,0,1,0,1
42,4.5,15,5,3,2,3,0,0,0,1,0,1,1,2
43,4.7,18,8,2,1,2,0,1,2,0,0,1,0,2
44,4.3,28,7,2,4,2,3,2,1,1,1,0,0,0
45,4.6,15,5,5,0,2,2,3,2,2,1,0,0,0
46,4.8,19,3,3,0,2,2,0,1,0,1,0,0,3
47,4.4,24,5,6,0,1,2,2,1,1,0,0,1,1
48,5.2,8,5,4,1,1,4,1,0,0,1,1,0,2
49,5.1,19,7,2,1,0,1,1,1,1,0,0,0,3
50,5.0,19,6,5,4,0,3,2,0,0,0,0,1,2
51,5.3,24,5,4,2,1,0,3,2,0,0,0,0,1
52,4.9,29,9,5,2,0,0,3,1,1,0,0,0,1
53,5.4,30,7,4,3,3,3,1,0,0,0,1,0,1
54,5.5,17,4,1,0,3,1,1,0,1,1,0,0,3
55,5.6,13,7,1,1,1,2,1,2,0,1,1,0,2
56,5.7,16,9,5,2,0,4,0,3,0,0,0,0,1
57,6.1,14,7,3,0,1,4,3,1,0,0,0,0,2
58,5.8,15,7,3,1,2,4,0,0,2,0,0,0,2
59,6.0,17,3,3,1,2,0,4,0,1,0,0,1,1
60,6.4,11,7,3,2,1,1,1,0,1,3,0,1,1
61,6.3,23,6,7,1,4,2,0,0,2,0,0,0,1
62,5.9,15,15,3,1,1,2,2,0,0,0,0,1,1
63,6.2,17,10,4,3,1,2,2,2,0,0,0,0,1
64,6.5,14,3,1,3,1,2,0,2,2,0,1,0,2
65,6.6,10,5,2,1,2,2,1,1,1,1,0,0,2
66,6.7,8,10,8,1,1,1,0,1,1,0,0,0,1
67,6.8,15,4,3,0,0,0,1,1,0,1,0,2,3
68,6.9,20,3,4,1,3,1,0,2,0,0,0,0,2
69,7.0,10,3,5,1,1,1,0,0,1,1,0,0,2
70,7.1,14,5,2,4,0,1,2,0,1,0,0,0,1
71,7.2,8,7,4,5,0,1,3,0,0,0,0,0,1
72,7.3,14,8,2,1,2,0,2,1,0,3,0,0,1
73,7.5,13,6,1,1,0,1,0,1,0,0,1,0,3
74,7.6,11,2,7,2,1,1,2,0,0,2,1,0,1
75,7.9,8,2,1,3,1,3,0,1,1,1,0,0,3
76,7.4,5,4,3,0,1,1,1,1,0,0,0,3,1
77,7.7,23,6,4,4,2,2,2,2,0,0,0,0,1
78,8.0,17,8,2,1,0,0,0,1,2,1,0,0,3
79,7.8,12,5,0,1,2,3,0,1,1,0,0,0,3
80,0.3,269,1,0,0,0,0,0,0,0,0,0,0,0
81,0.5,174,19,1,0,0,0,0,0,0,0,0,0,0
82,0.1,481,0,0,0,0,0,0,0,0,0,0,0,0
83,0.4,206,13,0,0,0,0,0,0,0,0,0,0,0
84,0.2,387,0,0,0,0,0,0,0,0,0,0,0,0
85,0.8,146,21,1,2,1,0,0,0,0,0,0,0,0
86,0.7,145,21,2,1,1,0,0,0,0,0,0,0,0
87,0.6,154,20,2,1,0,0,0,0,0,0,0,0,0
88,1.1,134,22,3,0,2,0,0,0,0,0,0,0,0
89,0.9,135,22,3,1,1,1,0,0,0,0,0,0,0
90,1.3,103,21,7,2,0,1,1,0,0,0,0,0,0
91,1.2,116,24,5,1,1,1,0,0,0,0,0,0,0
92,1.0,141,24,2,1,1,1,0,0,0,0,0,0,0
93,1.5,94,16,8,6,0,1,0,0,0,0,0,0,0
94,1.4,97,25,6,2,0,2,0,0,0,0,0,0,0
95,1.6,94,19,8,1,2,2,0,0,0,0,0,0,0
96,1.7,104,18,7,3,0,2,0,0,0,0,0,0,0
97,1.8,75,17,11,3,2,1,1,0,0,0,0,0,0
98,1.9,73,13,7,2,2,2,1,0,1,0,0,0,0
99,2.2,55,14,2,3,2,1,2,0,0,0,1,0,1
100,2.3,61,19,6,3,1,3,0,0,1,0,0,0,0
101,2.0,61,16,8,4,2,2,1,0,0,0,0,0,0
102,2.4,62,21,10,3,0,0,2,0,0,0,1,0,0
103,2.1,86,16,4,4,3,2,0,0,0,0,0,0,0
104,2.5,52,18,4,6,2,3,0,0,0,1,0,0,0
105,2.6,45,11,6,3,1,3,0,1,0,1,1,0,0
106,2.7,46,12,6,3,1,1,1,2,0,0,0,1,0
107,2.8,48,13,4,3,4,2,0,0,0,0,0,0,1
108,3.0,50,10,9,4,2,1,1,0,0,0,0,0,1
109,3.1,27,10,8,7,1,1,0,2,0,0,0,1,0
110,3.2,34,8,1,4,4,1,2,1,1,0,0,0,1
111,2.9,46,10,3,3,4,3,1,0,0,0,0,0,1
112,3.4,28,9,2,4,1,3,2,0,2,0,0,1,0
113,3.6,37,5,3,2,1,1,2,1,1,0,0,0,2
114,3.8,26,4,4,1,7,2,1,1,0,0,2,0,0
115,3.3,35,14,5,3,3,1,0,1,0,1,0,0,1
116,3.5,40,7,5,2,1,3,2,1,1,0,0,0,1
117,3.7,31,8,4,2,3,4,0,3,1,0,0,0,0
118,3.9,23,12,4,1,2,1,1,0,0,1,0,1,1
119,4.0,22,9,6,4,1,2,4,0,0,0,0,0,1
120,4.1,33,9,3,1,2,1,1,3,0,1,0,0,1
