trial,power_decline,average empire area
0,0.4,24.208333333333332
1,0.5,27.181347150259068
2,0.7,29.201117318435752
3,0.8,31.313253012048193
4,0.6,27.97860962566845
5,0.1,8.117021276595745
6,0.3,19.611940298507463
7,0.2,13.551181102362206
8,1.0,32.5679012345679
9,1.1,34.973333333333336
10,1.2,36.91489361702128
11,1.5,43.22950819672131
12,0.9,29.86857142857143
13,1.3,38.05755395683453
14,1.6,48.61818181818182
15,1.4,38.88235294117647
16,1.7,48.62385321100918
17,1.8,48.3
18,2.1,61.89655172413793
19,1.9,46.78761061946903
20,2.3,59.97752808988764
21,2.0,51.54368932038835
22,2.4,71.77333333333333
23,2.2,53.82828282828283
24,2.5,58.56521739130435
25,2.6,76.67142857142858
26,2.7,70.48684210526316
27,3.0,79.44117647058823
28,2.8,105.88235294117646
29,2.9,66.90123456790124
30,3.1,84.95238095238095
31,3.2,89.8
32,3.3,72.74666666666667
33,3.6,94.19298245614036
34,3.4,89.83333333333333
35,3.5,105.56862745098039
36,3.9,99.94444444444444
37,3.7,83.5625
38,3.8,105.88235294117646
39,4.0,97.25454545454545
40,4.1,81.28787878787878
41,4.2,92.41379310344827
42,4.5,161.12121212121212
43,4.7,143.24324324324326
44,4.3,103.84313725490196
45,4.6,143.94594594594594
46,4.8,158.97058823529412
47,4.4,122.70454545454545
48,5.2,190.17857142857142
49,5.1,150.19444444444446
50,5.0,129.21428571428572
51,5.3,129.28571428571428
52,4.9,105.43137254901961
53,5.4,101.0377358490566
54,5.5,168.25
55,5.6,170.0
56,5.7,133.925
57,6.1,152.45714285714286
58,5.8,148.66666666666666
59,6.0,163.36363636363637
60,6.4,166.625
61,6.3,116.82608695652173
62,5.9,131.85365853658536
63,6.2,127.30952380952381
64,6.5,173.3548387096774
65,6.6,190.89285714285714
66,6.7,169.125
67,6.8,178.16666666666666
68,6.9,149.52777777777777
69,7.0,217.56
70,7.1,178.23333333333332
71,7.2,184.41379310344828
72,7.3,157.2941176470588
73,7.5,197.1851851851852
74,7.6,179.2
75,7.9,221.79166666666666
76,7.4,268.2
77,7.7,116.41304347826087
78,8.0,153.82857142857142
79,7.8,189.46428571428572
80,0.3,19.618518518518517
81,0.5,27.010309278350515
82,0.1,8.185031185031185
