trial,asa_growth,Average Empire Area,Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,0.01,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.02,1604.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.03,57.30769230769231,78,62,5,4,1,0,3,1,0,1,0,0,0,1
3,0.04,112.19148936170212,47,23,9,8,1,0,1,1,0,2,1,0,0,1
4,0.05,150.57142857142858,35,16,5,4,1,2,2,0,1,1,0,0,1,2
5,0.06,120.0909090909091,44,28,2,5,1,1,1,1,0,2,0,1,0,2
6,0.08,165.25,32,18,2,2,1,1,0,1,2,2,0,0,1,2
7,0.07,122.4186046511628,43,21,11,3,0,2,1,0,0,2,0,0,0,3
8,0.09,96.54545454545455,55,32,5,2,5,4,3,1,1,1,0,0,1,0
9,0.1,177.5,30,15,4,0,3,1,0,1,2,0,0,1,1,2
10,0.11,93.91228070175438,57,36,7,3,3,2,2,1,1,1,0,0,0,1
11,0.12,116.1304347826087,46,21,9,6,2,3,1,1,0,0,1,0,0,2
12,0.14,83.3125,64,34,12,7,4,3,0,1,2,1,0,0,0,0
13,0.13,101.50943396226415,53,26,12,6,2,2,2,0,1,1,0,0,0,1
14,0.15,106.22,50,24,9,3,5,4,2,1,1,0,0,0,0,1
15,0.16,109.46938775510205,49,26,7,2,2,4,4,1,2,0,0,0,0,1
16,0.17,109.0,49,25,12,0,3,3,2,2,1,0,0,0,0,1
17,0.18,109.65306122448979,49,30,6,2,3,2,1,1,0,2,1,0,0,1
18,0.19,128.97619047619048,42,21,8,2,2,4,1,1,1,0,0,0,0,2
19,0.2,104.03846153846153,52,29,8,2,3,2,4,0,1,1,1,0,0,1
20,0.21,158.94117647058823,34,14,5,3,2,1,3,2,1,0,1,0,0,2
21,0.22,124.62790697674419,43,20,5,6,4,3,0,2,0,0,2,0,0,1
22,0.23,121.6,45,22,10,2,3,2,2,1,1,1,0,0,0,1
23,0.24,107.26,50,25,11,1,4,1,4,0,2,0,0,2,0,0
24,0.01,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0.25,94.94642857142857,56,30,11,6,3,0,1,2,1,0,1,0,0,1
26,0.26,167.09375,32,12,5,3,2,1,1,4,0,1,0,1,1,1
27,0.02,140.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
28,0.27,117.69565217391305,46,25,3,7,2,3,0,2,0,1,2,0,0,1
29,0.28,107.06,50,26,8,5,5,2,1,1,1,0,0,0,0,1
30,0.29,109.24489795918367,49,30,5,3,4,0,1,1,2,1,0,0,0,2
31,0.3,90.61666666666666,60,38,7,5,4,0,1,1,0,2,1,0,0,1
32,0.03,88.05,60,39,7,5,2,2,1,2,0,0,0,0,1,1
33,0.04,165.28125,32,15,4,2,2,1,3,1,0,0,1,1,0,2
34,0.05,125.83333333333333,42,18,7,4,4,2,3,1,1,0,1,0,0,1
35,0.06,112.80851063829788,47,28,2,6,1,5,1,2,0,0,0,0,0,2
36,0.07,152.02857142857144,35,22,3,0,1,2,1,0,2,0,1,1,0,2
37,0.08,130.0,41,17,10,5,1,0,2,2,0,0,2,1,0,1
38,0.09,105.27450980392157,51,27,11,4,0,3,1,1,1,1,0,1,0,1
39,0.1,140.57894736842104,38,17,5,4,2,1,4,2,1,0,1,0,0,1
40,0.11,108.16,50,28,9,2,2,4,0,1,1,1,0,1,0,1
41,0.12,142.83783783783784,37,14,9,5,0,0,3,1,2,1,1,0,0,1
42,0.13,97.01818181818182,55,36,5,1,3,3,0,2,3,0,1,0,0,1
43,0.14,95.07142857142857,56,31,8,7,2,1,3,1,0,1,1,0,0,1
44,0.15,98.75925925925925,54,25,14,3,4,2,2,2,0,1,0,0,0,1
45,0.16,108.77551020408163,49,29,6,4,2,1,3,1,0,0,1,0,0,2
46,0.18,105.2156862745098,51,29,4,6,3,2,3,0,1,0,2,1,0,0
47,0.17,92.03448275862068,58,32,11,5,4,1,1,2,0,0,0,0,0,2
48,0.2,117.73913043478261,46,23,6,5,3,1,4,0,1,1,0,1,0,1
49,0.19,92.86206896551724,58,35,7,5,5,0,2,1,0,1,0,0,1,1
50,0.21,85.60317460317461,63,40,9,4,2,0,3,2,0,1,1,0,0,1
51,0.22,98.92592592592592,54,30,12,4,1,1,1,1,0,0,1,2,0,1
52,0.23,101.01886792452831,53,29,10,6,2,0,1,2,1,1,0,0,0,1
53,0.24,122.97727272727273,44,25,5,4,1,1,2,1,2,0,0,1,1,1
54,0.26,101.52830188679245,53,27,7,8,3,1,3,1,1,1,0,0,1,0
55,0.25,89.5,60,35,11,6,0,1,1,3,1,0,0,1,0,1
56,0.27,69.51948051948052,77,54,10,2,2,2,3,1,1,0,1,0,1,0
57,0.28,125.32558139534883,43,18,6,7,3,2,1,0,3,1,0,1,1,0
58,0.01,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
59,0.29,90.89830508474576,59,35,8,4,2,3,2,4,0,0,0,0,0,1
60,0.02,2774.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0.3,103.03846153846153,52,31,4,7,2,2,1,1,1,1,0,0,0,2
62,0.03,84.20967741935483,62,45,6,2,0,2,3,0,1,1,1,0,0,1
63,0.04,115.97777777777777,45,29,4,3,2,2,1,0,0,2,0,0,0,2
64,0.05,140.05263157894737,38,19,5,4,3,0,0,2,2,0,0,1,0,2
65,0.06,96.56363636363636,55,33,5,6,3,1,1,2,1,1,1,1,0,0
66,0.07,82.8125,64,37,12,8,0,1,2,1,1,0,0,1,0,1
67,0.08,144.40540540540542,37,17,7,1,3,3,1,2,1,0,0,0,0,2
68,0.09,126.45238095238095,42,18,9,2,4,1,2,3,1,0,0,1,1,0
69,0.1,125.30232558139535,43,20,5,4,5,4,2,1,1,0,0,0,0,1
70,0.11,94.12280701754386,57,39,6,4,1,1,1,2,1,1,0,0,0,1
71,0.12,114.46808510638297,47,24,6,2,6,1,2,2,1,3,0,0,0,0
72,0.13,107.18,50,25,12,4,2,0,2,2,0,0,2,0,0,1
73,0.14,131.6341463414634,41,18,9,1,4,0,3,1,3,0,0,1,0,1
74,0.15,100.90566037735849,53,33,4,5,3,1,3,1,0,0,0,1,1,1
75,0.16,183.82758620689654,29,11,4,2,2,2,1,0,3,1,0,0,1,2
76,0.17,79.86567164179104,67,41,9,6,4,2,3,1,0,0,0,0,0,1
77,0.18,127.42857142857143,42,20,4,4,5,2,1,4,0,1,0,0,0,1
78,0.19,106.8,50,26,8,6,2,1,4,0,0,2,0,0,0,1
79,0.2,93.20689655172414,58,35,8,4,0,3,2,1,1,2,1,0,1,0
80,0.21,122.0,44,24,8,2,0,2,2,0,4,0,0,0,0,2
81,0.22,72.78082191780823,73,38,18,7,3,3,1,2,1,0,0,0,0,0
82,0.23,125.5813953488372,43,23,7,4,0,1,1,1,2,2,0,0,0,2
83,0.24,102.88461538461539,52,25,10,6,2,3,2,1,0,2,0,0,0,1
84,0.25,104.94117647058823,51,31,9,2,0,2,2,0,2,0,0,1,1,1
85,0.26,100.66666666666667,54,33,9,3,1,1,3,1,1,0,0,0,0,2
86,0.27,110.3265306122449,49,20,13,5,1,2,4,0,2,0,2,0,0,0
87,0.28,102.46153846153847,52,26,10,2,6,1,1,3,1,0,1,1,0,0
88,0.29,85.61904761904762,63,35,13,4,2,2,4,1,0,1,0,0,1,0
89,0.3,115.76595744680851,47,24,7,4,4,2,1,2,1,1,0,0,0,1
