trial,delta_power,Average Empire Area,Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,0.05,94.33333333333333,57,34,7,7,1,2,1,1,1,1,0,0,1,1
1,0.08,109.08163265306122,49,22,10,5,3,3,2,1,0,2,1,0,0,0
2,0.06,128.97619047619048,42,20,6,5,3,0,2,1,0,2,1,1,0,1
3,0.04,103.01923076923077,52,31,9,0,3,1,2,1,3,0,0,1,0,1
4,0.07,121.63636363636364,44,23,4,8,1,1,2,2,0,0,1,0,0,2
5,0.03,94.82142857142857,56,32,7,6,2,2,4,1,1,0,0,0,0,1
6,0.01,128.02380952380952,42,23,3,3,2,3,1,4,0,1,0,0,0,2
7,0.02,86.62903225806451,62,41,5,5,5,1,2,1,1,0,0,0,0,1
8,0.1,113.25,48,27,7,4,2,4,0,1,0,0,0,0,0,3
9,0.11,134.15,40,23,4,2,1,2,1,1,1,3,0,0,1,1
10,0.12,88.34426229508196,61,39,10,3,3,0,2,0,2,0,0,0,0,2
11,0.15,104.41176470588235,51,28,8,5,1,1,2,1,1,1,2,0,1,0
12,0.14,106.92156862745098,51,26,11,4,1,3,2,1,0,1,0,0,0,2
13,0.13,96.51785714285714,56,32,11,3,2,2,0,3,0,0,1,1,0,1
14,0.09,93.17543859649123,57,28,12,6,6,0,2,1,1,0,0,0,0,1
15,0.16,88.66666666666667,60,35,8,5,7,0,2,1,1,0,0,0,0,1
16,0.19,112.6875,48,26,8,6,1,0,2,0,2,0,1,1,0,1
17,0.17,106.68,50,24,12,2,4,2,1,2,1,0,1,0,0,1
18,0.18,94.19298245614036,57,33,9,8,0,0,2,1,0,2,1,0,0,1
19,0.2,110.9795918367347,49,32,5,4,2,1,1,1,0,1,0,0,0,2
20,0.03,163.0909090909091,33,13,8,2,1,0,4,0,1,0,1,1,1,1
21,0.02,131.0,41,16,9,4,4,1,3,0,0,1,1,0,1,1
22,0.04,119.02222222222223,45,24,7,2,3,2,5,0,0,0,0,0,0,2
23,0.01,97.23636363636363,55,25,9,12,3,2,1,0,2,0,0,0,0,1
24,0.05,106.84,50,27,8,5,1,2,2,2,1,0,0,0,0,2
25,0.09,127.38095238095238,42,20,6,4,1,2,2,2,1,2,1,1,0,0
26,0.08,122.25,44,19,9,7,1,2,3,1,0,0,0,0,0,2
27,0.07,119.91111111111111,45,20,10,6,1,2,1,2,2,0,0,0,0,1
28,0.06,93.29310344827586,58,37,8,2,3,2,1,3,0,0,1,0,0,1
29,0.1,109.91836734693878,49,28,7,2,3,1,3,1,1,0,1,0,0,2
30,0.11,103.53846153846153,52,30,7,2,2,6,2,0,1,1,0,0,0,1
31,0.12,108.22,50,27,10,3,1,4,3,0,1,0,0,0,0,1
32,0.13,84.71428571428571,63,38,9,4,5,2,2,1,1,0,0,0,0,1
33,0.14,122.5909090909091,44,27,2,5,1,1,1,4,0,1,0,1,0,1
34,0.17,130.65853658536585,41,15,12,3,1,2,1,2,0,2,1,1,1,0
35,0.18,101.56603773584905,53,28,10,6,1,1,1,1,1,0,2,2,0,0
36,0.15,92.77586206896552,58,26,11,11,3,1,3,2,1,0,0,0,0,0
37,0.16,114.57446808510639,47,28,4,5,0,4,3,0,1,0,1,0,0,1
38,0.19,114.36170212765957,47,26,1,7,3,2,3,3,0,1,0,0,0,1
39,0.2,107.44,50,25,9,5,4,0,2,1,1,0,2,0,0,1
40,0.01,95.55357142857143,56,30,9,4,6,1,3,1,1,0,0,0,0,1
41,0.04,103.67307692307692,52,28,9,4,1,2,3,2,0,0,1,1,0,1
42,0.02,97.30909090909091,55,32,9,4,3,1,1,2,0,1,0,1,0,1
43,0.06,117.04347826086956,46,22,10,5,0,3,3,0,1,0,0,0,0,2
44,0.05,105.27450980392157,51,27,11,3,1,3,1,0,3,0,0,0,1,1
45,0.03,107.44,50,28,9,2,1,3,4,0,0,0,1,1,0,1
46,0.07,96.28571428571429,56,33,8,3,4,1,2,2,0,0,2,0,0,1
47,0.08,108.9795918367347,49,28,6,4,1,3,1,0,0,2,2,1,1,0
48,0.09,10.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,0.11,174.09677419354838,31,13,4,2,3,2,1,2,0,1,1,0,0,2
50,0.1,99.22222222222223,54,33,8,3,0,2,2,2,1,2,0,0,0,1
51,0.12,103.67307692307692,52,29,7,6,0,1,2,4,1,0,0,1,1,0
52,0.15,95.71428571428571,56,32,6,8,1,2,3,1,2,0,0,0,0,1
53,0.14,94.6842105263158,57,32,12,3,3,2,0,1,2,0,0,0,0,2
54,0.13,94.82142857142857,56,29,9,6,2,3,4,1,0,1,0,0,0,1
55,0.16,105.70588235294117,51,29,7,5,1,2,4,2,0,0,0,0,0,1
56,0.17,116.41304347826087,46,24,7,6,1,1,2,0,2,0,0,0,0,3
57,0.18,116.73913043478261,46,20,13,5,1,3,0,1,0,0,1,0,1,1
58,0.19,104.82352941176471,51,22,14,6,2,2,1,0,0,0,1,0,2,1
59,0.2,98.88888888888889,54,27,12,4,3,2,4,0,0,1,0,0,0,1
