Cell,Elevation,Times Changed Hands
0,917,1
1,644,3
2,300,5
3,233,5
4,147,5
5,639,5
6,603,39
7,463,6
8,80,78
9,990,2
10,618,259
11,373,344
12,282,407
13,31,438
14,737,412
15,915,14
16,383,181
17,319,40
18,1401,1
19,1140,80
20,839,273
21,731,86
22,138,9
23,1194,256
24,999,404
25,1109,2
26,480,10
27,1347,1
28,1169,432
29,1240,1
30,996,2
31,1295,2
32,908,271
33,1227,2
34,574,4
35,631,179
36,710,209
37,1094,3
38,993,4
39,651,22
40,940,3
41,1132,2
42,258,15
43,612,132
44,565,1
45,728,4
46,231,58
47,422,44
48,431,4
49,116,98
50,89,49
51,38,11
52,64,2
53,1028,2
54,306,3
55,745,2
56,486,4
57,486,4
58,252,5
59,262,5
60,1,2
61,227,2
62,110,3
63,203,5
64,9,3
65,342,2
66,18,150
67,34,83
68,328,4
69,100,32
70,179,110
71,496,2
72,376,213
73,109,86
74,166,6
75,607,1
76,505,1
77,336,2
78,391,174
79,204,2
80,414,6
81,85,162
82,248,6
83,38,454
84,1,335
85,152,4
86,91,315
87,152,2
88,25,73
89,284,1
90,129,308
91,113,2
92,86,180
93,280,4
94,189,1
95,59,5
96,51,279
97,168,4
98,115,399
99,138,2
100,242,1
101,52,58
102,60,486
103,302,3
104,214,1
105,71,328
106,13,292
107,190,3
108,142,4
109,1,7
110,27,1
111,136,2
112,160,2
113,203,12
114,1,233
115,21,13
116,102,1
117,131,170
118,269,2
119,101,47
120,100,3
121,77,25
122,1,222
123,131,281
124,11,44
125,24,41
126,57,8
127,63,29
128,145,237
129,26,196
130,38,361
131,82,1
132,1,25
133,33,560
134,96,365
135,2,302
136,54,501
137,236,1
138,363,2
139,209,3
140,41,61
141,1,109
142,60,7
143,132,2
144,90,170
145,53,68
146,3,220
147,1,12
148,159,2
149,97,235
150,82,5
151,290,9
152,120,45
153,35,54
154,44,6
155,115,1
156,86,3
157,87,4
158,220,2
159,143,2
160,1,275
161,192,2
162,100,3
163,1,4
164,341,1
165,84,67
166,32,265
167,50,6
168,198,1
169,79,502
170,165,9
171,65,22
172,99,9
173,67,7
174,295,2
175,96,31
176,67,243
177,144,7
178,90,269
179,12,221
180,16,12
181,122,7
182,119,1
183,19,93
184,2,18
185,278,2
186,145,3
187,60,199
188,29,2
189,5,266
190,195,1
191,37,63
192,128,1
193,109,4
194,61,1
195,7,280
196,131,5
197,78,2
198,148,2
199,34,4
200,52,329
201,21,147
202,125,493
203,206,1
204,209,2
205,17,1
206,1,166
207,75,5
208,181,4
209,215,1
210,73,365
211,171,1
212,178,10
213,102,1
214,189,2
215,86,1
216,156,1
217,180,2
218,65,493
219,99,1
220,97,5
221,87,1
222,69,5
223,32,394
224,37,363
225,83,187
226,16,162
227,100,1
228,110,2
229,14,189
230,1,49
231,114,36
232,1,226
233,127,37
234,541,15
235,521,27
236,268,113
237,1,17
238,1,249
239,370,69
240,684,34
241,465,318
242,642,1
243,379,93
244,289,33
245,481,154
246,1380,2
247,1310,1
248,793,1
249,648,12
250,1123,75
251,1116,192
252,1008,1
253,758,89
254,206,37
255,651,81
256,1092,196
257,931,89
258,974,2
259,739,14
260,1590,2
261,764,373
262,797,173
263,404,5
264,757,26
265,808,54
266,772,108
267,885,262
268,929,2
269,696,56
270,721,288
271,852,188
272,302,55
273,480,56
274,725,50
275,712,372
276,478,39
277,649,32
278,785,11
279,863,174
280,541,2
281,358,30
282,798,1
283,827,124
284,631,3
285,769,3
286,871,3
287,229,10
288,758,2
289,942,2
290,1208,2
291,60,23
292,500,14
293,841,2
294,1566,1
295,626,2
296,367,15
297,510,9
298,209,10
299,241,19
300,406,7
301,379,307
302,202,4
303,215,11
304,393,27
305,587,2
306,166,187
307,477,2
308,405,134
309,29,309
310,186,368
311,290,303
312,412,290
313,176,123
314,209,459
315,286,494
316,72,203
317,252,2
318,396,13
319,143,429
320,415,2
321,556,90
322,181,2
323,199,5
324,568,1
325,172,447
326,559,2
327,203,2
328,197,432
329,332,19
330,243,1
331,99,94
332,53,157
333,151,116
334,231,102
335,239,3
336,864,3
337,515,7
338,179,22
339,845,3
340,1047,3
341,416,18
342,185,134
343,18,218
344,17,323
345,516,134
346,519,270
347,510,316
348,651,58
349,1137,108
350,930,177
351,927,217
352,604,245
353,10,263
354,180,2
355,66,404
356,157,9
357,142,10
358,135,5
359,118,10
360,26,8
361,0,2
362,3,3
363,1,4
364,21,6
365,8,2
366,4,3
367,568,7
368,1045,5
369,382,19
370,1682,3
371,373,124
372,394,43
373,241,111
374,41,408
375,78,418
376,593,1
377,596,6
378,588,273
379,665,290
380,1338,1
381,1165,2
382,685,397
383,269,110
384,22,2
385,88,219
386,94,417
387,140,3
388,160,6
389,99,512
390,126,5
391,55,10
392,20,6
393,-1,8
394,-3,37
395,-1,407
396,55,13
397,60,3
398,15,7
399,541,1
400,342,440
401,666,6
402,1234,5
403,422,27
404,2105,2
405,520,39
406,312,279
407,202,110
408,139,142
409,131,371
410,534,125
411,632,5
412,510,530
413,801,217
414,1060,231
415,1448,1
416,787,2
417,12,181
418,45,103
419,14,384
420,91,2
421,126,209
422,118,240
423,115,189
424,149,3
425,103,7
426,77,4
427,61,2
428,7,8
429,0,40
430,-4,449
431,4,9
432,1,4
433,63,3
434,59,2
435,442,1
436,513,3
437,270,552
438,628,16
439,1552,5
440,736,41
441,769,71
442,439,59
443,686,12
444,341,18
445,27,11
446,111,113
447,598,1
448,268,60
449,422,418
450,692,3
451,804,1
452,667,158
453,919,188
454,1022,230
455,379,370
456,635,13
457,43,183
458,66,215
459,92,4
460,150,2
461,116,82
462,108,485
463,112,400
464,80,472
465,134,5
466,169,2
467,104,2
468,20,12
469,9,86
470,2,135
471,-3,6
472,1,2
473,35,18
474,55,28
475,27,17
476,518,2
477,501,216
478,293,473
479,878,8
480,1627,7
481,1957,45
482,749,54
483,338,443
484,804,23
485,276,12
486,12,684
487,254,2
488,544,145
489,521,60
490,625,215
491,617,43
492,711,242
493,761,101
494,1081,4
495,826,83
496,618,15
497,214,32
498,104,112
499,78,188
500,173,4
501,275,3
502,147,7
503,131,164
504,97,276
505,146,3
506,96,17
507,219,2
508,35,2
509,22,42
510,10,308
511,17,16
512,8,4
513,8,191
514,460,2
515,466,260
516,542,2
517,316,543
518,988,12
519,1690,9
520,2209,1
521,663,127
522,653,190
523,608,43
524,194,4
525,250,2
526,98,205
527,688,9
528,694,72
529,763,7
530,650,300
531,904,6
532,1184,2
533,751,142
534,394,154
535,1228,2
536,149,227
537,121,34
538,120,16
539,377,2
540,282,3
541,133,221
542,157,40
543,84,392
544,188,2
545,230,4
546,233,2
547,36,23
548,18,290
549,25,75
550,26,2
551,1,391
552,21,103
553,11,455
554,424,138
555,476,117
556,498,6
557,353,570
558,850,24
559,1613,88
560,2200,2
561,592,334
562,817,158
563,397,20
564,139,571
565,1124,1
566,958,83
567,546,306
568,817,3
569,818,212
570,1040,7
571,1149,26
572,295,383
573,802,2
574,749,138
575,163,62
576,116,181
577,242,7
578,514,3
579,263,5
580,230,86
581,124,90
582,86,452
583,161,151
584,387,2
585,242,2
586,51,151
587,71,69
588,59,3
589,17,11
590,3,73
591,15,280
592,36,2
593,446,8
594,454,121
595,485,4
596,534,2
597,402,544
598,1451,36
599,1170,224
600,2177,178
601,1336,80
602,1113,43
603,561,2
604,557,1
605,1171,2
606,1078,282
607,710,5
608,853,2
609,990,3
610,1448,1
611,861,34
612,345,74
613,1370,1
614,331,247
615,109,479
616,186,14
617,458,11
618,486,3
619,226,298
620,233,58
621,163,149
622,119,417
623,230,151
624,448,7
625,240,5
626,114,40
627,52,103
628,37,6
629,19,8
630,21,230
631,1,431
632,11,516
633,426,86
634,390,249
635,494,2
636,426,4
637,487,434
638,1372,21
639,1616,295
640,2025,185
641,1180,254
642,1442,1
643,261,503
644,1422,1
645,2330,1
646,1251,2
647,1289,2
648,711,281
649,1257,2
650,1253,95
651,235,409
652,492,327
653,1265,223
654,197,103
655,196,6
656,335,19
657,738,8
658,477,10
659,232,284
660,278,95
661,216,125
662,279,28
663,330,3
664,498,1
665,69,265
666,94,189
667,107,5
668,22,9
669,57,2
670,45,4
671,6,29
672,28,5
673,31,7
674,420,237
675,365,21
676,530,2
677,728,2
678,951,42
679,1171,296
680,2304,1
681,2108,1
682,1843,2
683,1162,2
684,493,397
685,308,1
686,1140,521
687,1493,1
688,704,547
689,872,5
690,1094,122
691,794,144
692,293,254
693,1166,287
694,401,85
695,150,489
696,338,6
697,760,4
698,468,27
699,240,105
700,585,1
701,295,135
702,305,39
703,254,169
704,261,12
705,293,17
706,402,223
707,96,26
708,55,8
709,81,2
710,41,503
711,12,29
712,413,75
713,428,2
714,401,1
715,590,4
716,508,416
717,1129,60
718,1776,1
719,2015,134
720,1767,130
721,2017,1
722,910,5
723,1300,2
724,1236,2
725,1177,1
726,494,389
727,868,3
728,680,82
729,1294,2
730,204,464
731,504,83
732,2250,1
733,274,12
734,321,4
735,612,18
736,930,1
737,481,6
738,365,194
739,507,2
740,404,1
741,239,426
742,268,13
743,459,2
744,426,4
745,633,2
746,234,8
747,62,4
748,55,6
749,50,2
750,96,5
751,394,250
752,426,2
753,484,1
754,659,5
755,615,355
756,918,190
757,1258,45
758,1597,289
759,1417,299
760,1856,2
761,602,372
762,457,1
763,844,312
764,886,1
765,740,3
766,696,7
767,703,64
768,913,2
769,313,34
770,878,78
771,755,4
772,202,510
773,668,7
774,910,10
775,838,21
776,390,4
777,276,314
778,267,358
779,334,68
780,257,298
781,437,3
782,367,9
783,318,307
784,280,19
785,177,9
786,62,8
787,29,549
788,19,3
789,63,10
790,327,401
791,411,1
792,509,3
793,694,1
794,715,155
795,890,91
796,987,275
797,1662,106
798,1026,357
799,1387,4
800,886,3
801,183,66
802,190,129
803,143,613
804,517,5
805,28,174
806,340,50
807,283,241
808,342,35
809,1738,2
810,342,7
811,716,3
812,816,10
813,924,28
814,404,19
815,192,489
816,205,395
817,255,453
818,295,175
819,315,170
820,264,7
821,297,333
822,259,77
823,200,10
824,110,4
825,40,325
826,58,5
827,3,17
828,373,223
829,367,5
830,434,1
831,598,4
832,549,451
833,873,72
834,745,448
835,1050,145
836,1813,1
837,863,445
838,595,556
839,341,446
840,394,4
841,136,3
842,199,188
843,535,30
844,1418,3
845,79,418
846,748,4
847,1247,2
848,1012,2
849,280,412
850,499,50
851,382,24
852,680,1
853,558,2
854,377,3
855,111,435
856,418,2
857,316,1
858,689,2
859,92,5
860,67,3
861,14,9
862,1,538
863,354,417
864,414,3
865,456,7
866,586,193
867,663,70
868,745,289
869,821,179
870,1193,120
871,1244,116
872,1191,305
873,657,240
874,75,485
875,19,99
876,200,3
877,251,16
878,747,3
879,143,461
880,267,6
881,546,6
882,799,19
883,244,465
884,572,12
885,920,2
886,461,118
887,186,330
888,127,462
889,103,496
890,290,331
891,513,1
892,282,4
893,108,7
894,35,520
895,77,2
896,11,15
897,376,28
898,368,540
899,449,4
900,499,22
901,593,24
902,659,279
903,759,46
904,1005,83
905,1222,52
906,1541,1
907,1379,2
908,716,3
909,1,17
910,644,2
911,332,2
912,121,4
913,249,161
914,253,516
915,466,232
916,562,117
917,1030,5
918,369,358
919,471,53
920,292,368
921,394,1
922,275,482
923,603,2
924,203,3
925,85,114
926,47,5
927,15,131
928,380,6
929,374,530
930,433,55
931,495,341
932,567,125
933,680,138
934,951,32
935,945,192
936,1171,175
937,1194,218
938,1007,8
939,514,4
940,203,8
941,73,228
942,540,325
943,689,52
944,1006,159
945,740,58
946,776,3
947,964,1
948,499,87
949,372,110
950,312,3
951,333,107
952,334,3
953,75,227
954,36,464
955,89,1
956,1,463
957,385,5
958,405,23
959,440,206
960,509,275
961,559,285
962,789,23
963,957,30
964,1110,59
965,1319,14
966,1104,103
967,1163,2
968,367,6
969,176,10
970,187,358
971,1243,1
972,1244,272
