trial,starting x,starting y,Average Empire Area (Hexes),Average Empire Area (m^2),Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,-3.683582671115732,40.99009220657706,191.07142857142858,164894642857.14285,28,14,0,1,2,0,4,0,1,1,2,0,1,2
1,43.521048814526125,51.12559122199076,234.17391304347825,202092086956.52173,23,10,1,1,3,1,1,0,0,0,0,2,1,3
2,36.11906269101364,32.08862732926,246.0909090909091,212376454545.45456,22,8,1,0,1,3,3,0,0,0,0,2,2,2
3,22.301975924302063,42.70537696606637,192.21428571428572,165880928571.4286,28,15,1,0,1,2,1,2,0,1,1,0,0,4
4,37.487102723852516,39.70124964672374,256.85714285714283,221667714285.71426,21,6,1,1,1,3,1,1,0,1,2,2,0,2
5,29.853218019891713,30.081364703570372,199.03703703703704,171768962962.96295,27,6,3,1,5,2,1,4,2,2,0,0,1,0
6,6.089413387372356,52.9478435321989,179.5,154908500000.0,30,13,1,1,6,4,1,0,0,0,0,0,0,4
7,23.416472538790682,51.369747312762875,215.44,185924720000.0,25,10,2,0,1,1,3,1,2,2,2,0,0,1
8,42.440356758663015,51.76202658311657,215.28,185786640000.0,25,7,3,2,0,2,2,2,3,1,0,1,1,1
9,23.447268147711576,53.90259808090541,233.7391304347826,201716869565.21738,23,6,2,1,2,0,5,0,2,1,0,2,1,1
10,27.076316266111355,60.99500752530387,233.82608695652175,201791913043.47827,23,6,1,2,2,3,0,1,2,2,0,3,1,0
11,9.268233183622439,47.030423027133324,236.2608695652174,203893130434.78262,23,6,3,0,2,1,3,0,3,0,3,0,1,1
12,16.538585804077066,47.13656407134089,245.0,211435000000.0,22,9,0,1,0,2,1,0,2,3,1,1,1,1
13,40.95546943214224,50.76911810306086,186.0,160518000000.0,29,13,2,1,3,1,1,0,3,0,0,2,2,1
