trial,starting x,starting y,average empire area
0,1.661908654,27.43270856,136.5128205
1,-7.99983854,32.89765167,134.525
2,-7.531526944,33.17402363,109.4897959
3,44.72978465,38.83639924,97.92727273
4,29.34571037,27.72409779,109.122449
5,36.98101596,38.29883404,105.8039216
6,36.96575527,52.86609786,117.6304348
7,30.44577301,39.37410234,108.5918367
8,-2.665663268,32.76140961,99.33333333
9,35.80234842,53.99105163,118.6888889
10,22.63311685,41.06840215,93.21052632
11,36.67606119,39.06580974,117.173913
12,22.52147643,50.66013032,94.1754386
13,37.2814618,32.42028452,109.4897959
14,20.69042073,39.89517757,95.21052632
15,-3.350125929,55.69038871,86.37096774
16,0.845388507,42.46911533,73.97222222
17,-5.060757782,57.730407,127.2857143
18,45.59505996,49.82631127,119.6888889
19,40.81066736,39.24962397,153.1142857
20,-6.502386004,52.45126509,113.9787234
21,-3.011572273,51.1414078,89.28333333
22,35.85544373,54.53812211,113.1666667
23,28.58512622,51.54560083,137.2564103
24,14.14351884,37.92758223,84.19047619
25,41.7519839,51.54044678,119.3555556
26,11.7422211,58.63421772,106.66
27,45.31933977,54.47163421,100.9811321
28,44.16522138,55.1317592,130.9512195
29,5.69076893,49.94521345,111.3125
30,46.64244102,37.96095666,125.9534884
31,24.01222872,28.76423891,109.5306122
32,47.54480078,31.05084064,97.03636364
33,14.12458382,60.92680636,105.3529412
34,39.75482451,50.83300519,100.0925926
35,-5.428401711,33.32427591,133.9
36,27.76352336,61.8384217,90.59322034
37,40.63747966,49.11997442,119.8222222
38,11.25,49.34134358,103.5769231
39,34.20643458,49.61139316,135.25
40,41.61714677,31.01281198,114.6595745
41,-2.993558292,43.37217311,81.89230769
42,10.58092069,47.77347337,149.3333333
43,41.03780829,30.86989582,100.3773585
44,-2.793806547,42.43116395,106.72
45,19.16094725,51.72013434,97.89090909
46,12.02572598,55.29531561,128.5
47,29.58691087,38.22550298,92.36206897
48,-4.052157161,28.87458042,93.10526316
49,3.878771408,47.9661407,113.4468085
50,41.12996123,27.94565752,98.21818182
51,15.89369601,38.31317692,98.16666667
52,21.53309011,29.08443789,90.3220339
53,46.89802617,32.17380611,120.5555556
54,21.87978826,43.87087682,105.2745098
55,12.97096282,60.92491626,87.37704918
56,47.0260464,36.37461246,122.7954545
57,6.834803339,34.15157974,107.08
58,3.035686784,34.05033181,99.62962963
59,29.70280034,38.69821347,88
60,9.050127999,33.50093825,102.1346154
61,46.86311325,26.38086939,101.7169811
62,13.11933578,43.31761779,89.73333333
63,16.37242343,60.1838594,90.22033898
64,9.220109458,48.42940892,107.46
65,21.59443462,38.03212838,128.2619048
66,1.05360474,32.63632135,97.98181818
67,12.47429084,42.07526915,121.3409091
68,2.997524904,44.75080709,109.2653061
69,28.00386578,28.5420923,93.8245614
70,28.91836315,40.17507283,115.8695652
71,39.49839725,49.16734651,127.5714286
72,41.54110111,45.48314304,149.9722222
73,46.95760699,39.64935355,135.65
74,22.06730859,29.30874211,118.6
75,41.89410082,54.51954515,88.09836066
76,36.15537506,30.39281374,119.0888889
77,34.01137708,30.16901806,113.4893617
78,18.78434072,44.02593036,102.6538462
79,19.79513853,42.20431199,106.42
80,-7.440789987,39.64362571,113.7446809
81,30.42971203,57.81665206,125.1860465
82,43.77133243,42.71368037,120.3111111
83,36.23155102,27.0125225,96.01785714
84,-2.055520238,38.68963465,113.8723404
85,-6.814239169,39.43772639,96.83636364
86,38.01145875,33.04736972,103.3461538
