trial,use_elevation,power_decline,Average Empire Area,Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
0,True,0.8,52.47572815533981,103,51,47,2,3,0,0,0,0,0,0,0,0,0
1,True,0.5,31.70175438596491,171,154,17,0,0,0,0,0,0,0,0,0,0,0
2,True,0.7,47.41228070175438,114,62,49,3,0,0,0,0,0,0,0,0,0,0
3,True,0.6,38.58571428571429,140,106,33,1,0,0,0,0,0,0,0,0,0,0
4,True,0.4,25.46919431279621,211,208,3,0,0,0,0,0,0,0,0,0,0,0
5,True,0.3,19.08896797153025,281,281,0,0,0,0,0,0,0,0,0,0,0,0
6,True,0.2,13.7578125,384,384,0,0,0,0,0,0,0,0,0,0,0,0
7,True,0.1,8.232758620689655,464,464,0,0,0,0,0,0,0,0,0,0,0,0
8,True,0.9,70.52631578947368,76,23,36,13,4,0,0,0,0,0,0,0,0,0
9,True,1.0,74.4931506849315,73,20,37,12,4,0,0,0,0,0,0,0,0,0
10,True,1.3,119.0,45,9,13,10,7,3,1,0,2,0,0,0,0,0
11,True,1.1,90.42372881355932,59,17,15,21,4,2,0,0,0,0,0,0,0,0
12,True,1.2,97.74545454545455,55,13,19,13,7,3,0,0,0,0,0,0,0,0
13,True,1.4,145.9189189189189,37,6,8,6,3,9,4,1,0,0,0,0,0,0
14,True,1.5,131.82926829268294,41,11,9,5,6,5,3,1,0,0,0,1,0,0
15,True,1.6,173.1290322580645,31,5,3,6,2,5,5,5,0,0,0,0,0,0
16,True,1.8,186.31034482758622,29,9,3,3,3,2,1,2,2,2,0,1,1,0
17,True,2.0,199.8148148148148,27,7,2,3,2,3,2,4,2,0,0,0,1,1
18,True,2.1,190.5,28,8,1,3,2,3,5,1,1,2,1,1,0,0
19,True,1.9,198.0,27,11,1,3,1,1,2,2,1,1,0,2,1,1
20,True,1.7,168.46875,32,10,4,2,4,3,2,3,2,0,1,0,1,0
21,True,2.2,235.7826086956522,23,9,1,2,1,1,1,1,3,0,0,1,0,3
22,True,2.3,283.57894736842104,19,7,1,0,1,1,2,1,1,0,1,0,1,3
23,True,2.4,252.0952380952381,21,7,1,3,0,2,0,1,2,1,1,0,0,3
24,True,2.5,270.15,20,9,1,1,0,1,0,2,1,0,1,0,0,4
25,True,2.6,283.10526315789474,19,5,1,0,1,3,0,2,3,0,0,0,0,4
26,True,2.7,315.11764705882354,17,7,0,1,0,0,1,4,0,0,1,0,0,3
27,True,3.1,257.7142857142857,21,12,1,0,0,0,0,0,0,2,1,1,0,4
28,True,3.0,232.34782608695653,23,11,0,0,2,3,2,0,0,0,0,0,2,3
29,True,2.8,215.64,25,13,2,0,1,0,0,0,1,2,0,1,2,3
30,True,2.9,282.6842105263158,19,9,1,0,1,1,1,1,0,0,0,0,0,5
